channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column
1,img,1,q0_000,95.0,200129MZ072BBB07,A,2
1,img,1,q0_001,102.0,200129MZ072BBB07,A,2
1,img,1,q0_250,111.0,200129MZ072BBB07,A,2
1,img,1,q0_500,115.0,200129MZ072BBB07,A,2
1,img,1,q0_750,234.0,200129MZ072BBB07,A,2
1,img,1,q0_999,7258.0,200129MZ072BBB07,A,2
1,img,1,q1_000,18078.0,200129MZ072BBB07,A,2
2,img,1,q0_000,97.0,200129MZ072BBB07,A,2
2,img,1,q0_001,102.0,200129MZ072BBB07,A,2
2,img,1,q0_250,117.0,200129MZ072BBB07,A,2
2,img,1,q0_500,126.0,200129MZ072BBB07,A,2
2,img,1,q0_750,150.0,200129MZ072BBB07,A,2
2,img,1,q0_999,835.0,200129MZ072BBB07,A,2
2,img,1,q1_000,5790.0,200129MZ072BBB07,A,2
3,img,1,q0_000,95.0,200129MZ072BBB07,A,2
3,img,1,q0_001,101.0,200129MZ072BBB07,A,2
3,img,1,q0_250,109.0,200129MZ072BBB07,A,2
3,img,1,q0_500,112.0,200129MZ072BBB07,A,2
3,img,1,q0_750,118.0,200129MZ072BBB07,A,2
3,img,1,q0_999,422.0,200129MZ072BBB07,A,2
3,img,1,q1_000,32272.0,200129MZ072BBB07,A,2
4,img,1,q0_000,95.0,200129MZ072BBB07,A,2
4,img,1,q0_001,101.0,200129MZ072BBB07,A,2
4,img,1,q0_250,108.0,200129MZ072BBB07,A,2
4,img,1,q0_500,111.0,200129MZ072BBB07,A,2
4,img,1,q0_750,120.0,200129MZ072BBB07,A,2
4,img,1,q0_999,1649.0,200129MZ072BBB07,A,2
4,img,1,q1_000,14664.0,200129MZ072BBB07,A,2
1,obj,1,q0_000,178.0,200129MZ072BBB07,A,2
1,obj,1,q0_001,490.0,200129MZ072BBB07,A,2
1,obj,1,q0_250,1994.0,200129MZ072BBB07,A,2
1,obj,1,q0_500,2555.0,200129MZ072BBB07,A,2
1,obj,1,q0_750,3291.0,200129MZ072BBB07,A,2
1,obj,1,q0_999,8708.01000000001,200129MZ072BBB07,A,2
1,obj,1,q1_000,18078.0,200129MZ072BBB07,A,2
2,obj,1,q0_000,114.0,200129MZ072BBB07,A,2
2,obj,1,q0_001,144.0,200129MZ072BBB07,A,2
2,obj,1,q0_250,282.0,200129MZ072BBB07,A,2
2,obj,1,q0_500,340.0,200129MZ072BBB07,A,2
2,obj,1,q0_750,411.0,200129MZ072BBB07,A,2
2,obj,1,q0_999,1003.0,200129MZ072BBB07,A,2
2,obj,1,q1_000,5790.0,200129MZ072BBB07,A,2
3,obj,1,q0_000,104.0,200129MZ072BBB07,A,2
3,obj,1,q0_001,111.0,200129MZ072BBB07,A,2
3,obj,1,q0_250,142.0,200129MZ072BBB07,A,2
3,obj,1,q0_500,157.0,200129MZ072BBB07,A,2
3,obj,1,q0_750,184.0,200129MZ072BBB07,A,2
3,obj,1,q0_999,486.0,200129MZ072BBB07,A,2
3,obj,1,q1_000,875.0,200129MZ072BBB07,A,2
4,obj,1,q0_000,104.0,200129MZ072BBB07,A,2
4,obj,1,q0_001,113.0,200129MZ072BBB07,A,2
4,obj,1,q0_250,144.0,200129MZ072BBB07,A,2
4,obj,1,q0_500,174.0,200129MZ072BBB07,A,2
4,obj,1,q0_750,251.0,200129MZ072BBB07,A,2
4,obj,1,q0_999,2031.0,200129MZ072BBB07,A,2
4,obj,1,q1_000,3263.0,200129MZ072BBB07,A,2
1,l3seg,1,q0_000,178.0,200129MZ072BBB07,A,2
1,l3seg,1,q0_250,1806.0,200129MZ072BBB07,A,2
1,l3seg,1,q0_500,2351.0,200129MZ072BBB07,A,2
1,l3seg,1,q0_750,2969.0,200129MZ072BBB07,A,2
1,l3seg,1,q1_000,12313.0,200129MZ072BBB07,A,2
1,l3seg,2,q0_000,269.0,200129MZ072BBB07,A,2
1,l3seg,2,q0_250,1987.0,200129MZ072BBB07,A,2
1,l3seg,2,q0_500,2542.0,200129MZ072BBB07,A,2
1,l3seg,2,q0_750,3281.0,200129MZ072BBB07,A,2
1,l3seg,2,q1_000,12190.0,200129MZ072BBB07,A,2
1,l3seg,3,q0_000,326.0,200129MZ072BBB07,A,2
1,l3seg,3,q0_250,2244.0,200129MZ072BBB07,A,2
1,l3seg,3,q0_500,2817.0,200129MZ072BBB07,A,2
1,l3seg,3,q0_750,3511.0,200129MZ072BBB07,A,2
1,l3seg,3,q1_000,18078.0,200129MZ072BBB07,A,2
2,l3seg,1,q0_000,114.0,200129MZ072BBB07,A,2
2,l3seg,1,q0_250,277.0,200129MZ072BBB07,A,2
2,l3seg,1,q0_500,324.0,200129MZ072BBB07,A,2
2,l3seg,1,q0_750,387.0,200129MZ072BBB07,A,2
2,l3seg,1,q1_000,4961.0,200129MZ072BBB07,A,2
2,l3seg,2,q0_000,120.0,200129MZ072BBB07,A,2
2,l3seg,2,q0_250,264.0,200129MZ072BBB07,A,2
2,l3seg,2,q0_500,308.0,200129MZ072BBB07,A,2
2,l3seg,2,q0_750,359.0,200129MZ072BBB07,A,2
2,l3seg,2,q1_000,3219.0,200129MZ072BBB07,A,2
2,l3seg,3,q0_000,137.0,200129MZ072BBB07,A,2
2,l3seg,3,q0_250,349.0,200129MZ072BBB07,A,2
2,l3seg,3,q0_500,419.0,200129MZ072BBB07,A,2
2,l3seg,3,q0_750,512.0,200129MZ072BBB07,A,2
2,l3seg,3,q1_000,5790.0,200129MZ072BBB07,A,2
3,l3seg,1,q0_000,104.0,200129MZ072BBB07,A,2
3,l3seg,1,q0_250,139.0,200129MZ072BBB07,A,2
3,l3seg,1,q0_500,149.0,200129MZ072BBB07,A,2
3,l3seg,1,q0_750,159.0,200129MZ072BBB07,A,2
3,l3seg,1,q1_000,521.0,200129MZ072BBB07,A,2
3,l3seg,2,q0_000,104.0,200129MZ072BBB07,A,2
3,l3seg,2,q0_250,137.0,200129MZ072BBB07,A,2
3,l3seg,2,q0_500,150.0,200129MZ072BBB07,A,2
3,l3seg,2,q0_750,164.0,200129MZ072BBB07,A,2
3,l3seg,2,q1_000,553.0,200129MZ072BBB07,A,2
