channel,feature_name,feature_value,object_id,plate_column,plate_row,platedir,region,timepoint
1,q0_000,95.0,1,2,A,200129MZ072BBB07,img,72
1,q0_001,102.0,1,2,A,200129MZ072BBB07,img,72
1,q0_250,111.0,1,2,A,200129MZ072BBB07,img,72
1,q0_500,115.0,1,2,A,200129MZ072BBB07,img,72
1,q0_750,234.0,1,2,A,200129MZ072BBB07,img,72
1,q0_999,7258.0,1,2,A,200129MZ072BBB07,img,72
1,q1_000,18078.0,1,2,A,200129MZ072BBB07,img,72
2,q0_000,97.0,1,2,A,200129MZ072BBB07,img,72
2,q0_001,102.0,1,2,A,200129MZ072BBB07,img,72
2,q0_250,117.0,1,2,A,200129MZ072BBB07,img,72
2,q0_500,126.0,1,2,A,200129MZ072BBB07,img,72
2,q0_750,150.0,1,2,A,200129MZ072BBB07,img,72
2,q0_999,835.0,1,2,A,200129MZ072BBB07,img,72
2,q1_000,5790.0,1,2,A,200129MZ072BBB07,img,72
3,q0_000,95.0,1,2,A,200129MZ072BBB07,img,72
3,q0_001,101.0,1,2,A,200129MZ072BBB07,img,72
3,q0_250,109.0,1,2,A,200129MZ072BBB07,img,72
3,q0_500,112.0,1,2,A,200129MZ072BBB07,img,72
3,q0_750,118.0,1,2,A,200129MZ072BBB07,img,72
3,q0_999,422.0,1,2,A,200129MZ072BBB07,img,72
3,q1_000,32272.0,1,2,A,200129MZ072BBB07,img,72
4,q0_000,95.0,1,2,A,200129MZ072BBB07,img,72
4,q0_001,101.0,1,2,A,200129MZ072BBB07,img,72
4,q0_250,108.0,1,2,A,200129MZ072BBB07,img,72
4,q0_500,111.0,1,2,A,200129MZ072BBB07,img,72
4,q0_750,120.0,1,2,A,200129MZ072BBB07,img,72
4,q0_999,1649.0,1,2,A,200129MZ072BBB07,img,72
4,q1_000,14664.0,1,2,A,200129MZ072BBB07,img,72
1,q0_000,178.0,1,2,A,200129MZ072BBB07,obj,72
1,q0_001,490.0,1,2,A,200129MZ072BBB07,obj,72
1,q0_250,1994.0,1,2,A,200129MZ072BBB07,obj,72
1,q0_500,2555.0,1,2,A,200129MZ072BBB07,obj,72
1,q0_750,3291.0,1,2,A,200129MZ072BBB07,obj,72
1,q0_999,8708.01,1,2,A,200129MZ072BBB07,obj,72
1,q1_000,18078.0,1,2,A,200129MZ072BBB07,obj,72
2,q0_000,114.0,1,2,A,200129MZ072BBB07,obj,72
2,q0_001,144.0,1,2,A,200129MZ072BBB07,obj,72
